Price,qm2,Description
1500 €,59 m²,2-Zimmer-Wohnung|MünchenThalkirchen-Obersendling|Waakirchnerstraße44
850 €,20 m²,1-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Herzog-Heinrich-Straße
1650 €,44 m²,2-Zimmer-Wohnung|MünchenBogenhausen|Stuntzstraße
35 €,55 m²,2-Zimmer-Wohnung|MünchenMünchen|Zentnerstr.37
2300 €,95 m²,2-Zimmer-Wohnung|MünchenSchwabing-Freimann|AntwerpenerStr.16
1989 €,70 m²,2-Zimmer-Wohnung|MünchenSchwabing|Herzogstrasse
1650 €,55 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Pestalozzistr.20
1350 €,45 m²,"2-Zimmer-Wohnung|MünchenSchwabing-West|Clemensstrasse,129"
1550 €,43 m²,1-Zimmer-Wohnung|MünchenMaxvorstadt|AmKönigsplatz
1659 €,63 m²,"2,5-Zimmer-Wohnung|MünchenSendling-Westpark|TübingerStr.3"
159 €,55 m²,2-Zimmer-Wohnung|MünchenPasing-Obermenzing|Georg-Angermair-Straße8
1080 €,18 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Kreillerstraße
159 €,55 m²,2-Zimmer-Wohnung|MünchenPasing-Obermenzing|Georg-Angermair-Straße8
1600 €,50 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|RosenheimerStr.83
2000 €,63 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Holzstraße15d
800 €,40 m²,1-Zimmer-Wohnung|MünchenSchwanthalerhöhe|Carlamaria-heimstr
3880 €,180 m²,4-Zimmer-Wohnung|MünchenSchwabing-West|SchwabingWest
300 €,52 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|SchneckenburgerStr.10
2500 €,95 m²,"3,5-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Hedwigstraße16"
1670 €,45 m²,2-Zimmer-Wohnung|MünchenHöhenkirchen-Siegertsbrunn|Sudetenstrasse7
500 €,36 m²,1-Zimmer-Wohnung|MünchenHadern|saalburgstr.36
2140 €,85 m²,3-Zimmer-Wohnung|MünchenMünchenLand|Sudetenstrasse7
3250 €,103 m²,4-Zimmer-Wohnung|MünchenMaxvorstadt|Amalienstraße87
2490 €,90 m²,3-Zimmer-Wohnung|MünchenMaxvorstadt|SchleißheimerStr.43
1200 €,45 m²,2-Zimmer-Wohnung|MünchenHadern|Waldwiesenstr.
1300 €,68 m²,2-Zimmer-Wohnung|MünchenThalkirchen-Obersendling-...|Hindelangstr
1100 €,50 m²,2-Zimmer-Wohnung|MünchenAubing-Lochhausen-Langwied|Osterangerstraße64
